CAS,Tc,Pc,Vc,Zc,SMILES,Chemical,omega,Tc_error,Pc_error,Vc_error,ID,name,Tt,Pt,Tb,MW,Reference,Tm,Hfs,Hfl,Hfg,S0s,S0l,S0g,Hsub,Hfus,Hvap,AntoineTmin,AntoineTmax,AntoineA,AntoineB,AntoineC
592-57-4,558.0,4730000.0,0.000277,0.2824050937285485,C1CC=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-64-8,680.6,4648000.0,0.000328,0.2694100752957064,BrCCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
662-01-1,449.0,2570000.0,0.000369,0.2540264642709764,FC(F)(Cl)C(F)(F)C(F)(F)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
142-28-9,603.0,4150000.0,0.000291,0.2408738135445242,ClCCCCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
372-18-9,548.4,4299000.0,0.000292,0.2753078947191363,Fc1cccc(F)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-31-1,787.1,4870000.0,0.000323,0.2403628728316077,CNC(=O)NC,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-73-9,749.9,4275000.0,0.000362,0.2482030711379793,CN1CCN(C)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-12-7,787.7,3313000.0,0.000455,0.230164214900001,Cc1cc(C)cc(c1)[N+]([O-])=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
702-79-4,708.0,3000000.0,0.00057,0.2904883151455671,CC12CC3CC(C1)CC(C)(C3)C2,,,,,,,,,,,,,,,,,,,,,,,,,,,
505-22-6,590.0,5150000.0,0.000239,0.2509105562785413,C1COCOC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
136-35-6,845.0,2830000.0,0.000642,0.2586012200981387,N(N=Nc1ccccc1)c2ccccc2,,,,,,,,,,,,,,,,,,,,,,,,,,,
79808-30-3,667.1,2186000.0,0.00069,0.2719406445887354,CC(C)(C)OCC(COC(C)(C)C)O,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-76-2,632.0,5590000.0,0.000316,0.3361612323444192,NCCCN,,,,,,,,,,,,,,,,,,,,,,,,,,,
504-63-2,718.2,6550000.0,0.000239,0.2621558872203223,OCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
503-30-0,520.0,5750000.0,0.000188,0.2500277226945901,C1COC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645-00-9,832.0,2675000.0,0.000663,0.2563774380734984,COC(=O)c1ccc(cc1)C(=O)OCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
7209-38-3,750.3,2266000.0,0.000744,0.2702487597706944,NCCCN1CCN(CCCN)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4538-37-8,724.3,2947000.0,0.000459,0.2246157218179061,O=C=NCCCCN=C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,
110-63-4,723.8,5520000.0,0.00029,0.266001638508422,OCCCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
